Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
163	5.0000	1.0808	1.0613
164	5.0000	1.0808	1.0613
165	5.0000	1.0808	1.0613
166	5.0000	1.0808	1.0613
167	5.0000	1.0808	1.0613
168	5.0000	1.0808	1.0613
169	5.0000	1.0808	1.0613
170	4.0000	0.8647	0.8491
171	5.0000	1.0808	1.0613
172	5.0000	1.0808	1.0613
173	4.0000	0.8647	0.8491
174	5.0000	1.0808	1.0613
175	5.0000	1.0808	1.0613
176	5.0000	1.0808	1.0613
177	4.0000	0.8647	0.8491
178	4.0000	0.8647	0.8491
179	5.0000	1.0808	1.0613
180	5.0000	1.0808	1.0613
181	5.0000	1.0808	1.0613
182	5.0000	1.0808	1.0613
183	5.0000	1.0808	1.0613
184	3.0000	0.6485	0.6368
185	5.0000	1.0808	1.0613
186	3.0000	0.6485	0.6368
187	4.0000	0.8647	0.8491
188	3.0000	0.6485	0.6368
189	5.0000	1.0808	1.0613
190	5.0000	1.0808	1.0613
191	5.0000	1.0808	1.0613
192	4.0000	0.8647	0.8491
193	4.0000	0.8647	0.8491
194	5.0000	1.0808	1.0613
195	3.0000	0.6485	0.6368
196	5.0000	1.0808	1.0613
197	5.0000	1.0808	1.0613
198	5.0000	1.0808	1.0613
199	5.0000	1.0808	1.0613
200	5.0000	1.0808	1.0613
201	4.0000	0.8647	0.8491
202	5.0000	1.0808	1.0613
203	5.0000	1.0808	1.0613
204	5.0000	1.0808	1.0613
205	5.0000	1.0808	1.0613
206	4.0000	0.8647	0.8491
207	5.0000	1.0808	1.0613
208	4.0000	0.8647	0.8491
209	5.0000	1.0808	1.0613
210	5.0000	1.0808	1.0613
211	5.0000	1.0808	1.0613
212	5.0000	1.0808	1.0613
213	5.0000	1.0808	1.0613
214	5.0000	1.0808	1.0613
215	5.0000	1.0808	1.0613
216	5.0000	1.0808	1.0613
217	5.0000	1.0808	1.0613
218	5.0000	1.0808	1.0613
219	5.0000	1.0808	1.0613
220	5.0000	1.0808	1.0613
221	5.0000	1.0808	1.0613
222	5.0000	1.0808	1.0613
223	5.0000	1.0808	1.0613
224	5.0000	1.0808	1.0613
225	5.0000	1.0808	1.0613
226	3.0000	0.6485	0.6368
227	5.0000	1.0808	1.0613
228	5.0000	1.0808	1.0613
229	5.0000	1.0808	1.0613
230	5.0000	1.0808	1.0613
231	5.0000	1.0808	1.0613
232	5.0000	1.0808	1.0613
233	5.0000	1.0808	1.0613
234	5.0000	1.0808	1.0613
235	5.0000	1.0808	1.0613
236	5.0000	1.0808	1.0613
237	5.0000	1.0808	1.0613
238	5.0000	1.0808	1.0613
239	5.0000	1.0808	1.0613
240	5.0000	1.0808	1.0613
241	5.0000	1.0808	1.0613
242	4.0000	0.8647	0.8491
243	5.0000	1.0808	1.0613
244	4.0000	0.8647	0.8491
245	3.0000	0.6485	0.6368
246	4.0000	0.8647	0.8491
247	3.0000	0.6485	0.6368
248	5.0000	1.0808	1.0613
249	4.0000	0.8647	0.8491
250	5.0000	1.0808	1.0613
251	5.0000	1.0808	1.0613
252	4.0000	0.8647	0.8491
253	5.0000	1.0808	1.0613
254	5.0000	1.0808	1.0613
255	4.0000	0.8647	0.8491
256	5.0000	1.0808	1.0613
257	5.0000	1.0808	1.0613
258	5.0000	1.0808	1.0613
259	5.0000	1.0808	1.0613
260	3.0000	0.6485	0.6368
261	3.0000	0.6485	0.6368
262	5.0000	1.0808	1.0613
263	5.0000	1.0808	1.0613
264	5.0000	1.0808	1.0613
265	5.0000	1.0808	1.0613
266	5.0000	1.0808	1.0613
267	5.0000	1.0808	1.0613
268	3.0000	0.6485	0.6368
269	4.0000	0.8647	0.8491
270	5.0000	1.0808	1.0613
271	4.0000	0.8647	0.8491
272	5.0000	1.0808	1.0613
273	4.0000	0.8647	0.8491
274	4.0000	0.8647	0.8491
275	5.0000	1.0808	1.0613
276	5.0000	1.0808	1.0613
277	5.0000	1.0808	1.0613
278	3.0000	0.6485	0.6368
279	5.0000	1.0808	1.0613
280	5.0000	1.0808	1.0613
281	4.0000	0.8647	0.8491
282	4.0000	0.8647	0.8491
283	5.0000	1.0808	1.0613
284	5.0000	1.0808	1.0613
285	5.0000	1.0808	1.0613
286	4.0000	0.8647	0.8491
287	5.0000	1.0808	1.0613
288	5.0000	1.0808	1.0613
289	5.0000	1.0808	1.0613
290	5.0000	1.0808	1.0613
291	4.0000	0.8647	0.8491
292	5.0000	1.0808	1.0613
293	5.0000	1.0808	1.0613
294	5.0000	1.0808	1.0613
295	5.0000	1.0808	1.0613
296	1.0000	0.2162	0.2123
297	5.0000	1.0808	1.0613
298	4.0000	0.8647	0.8491
299	4.0000	0.8647	0.8491
300	5.0000	1.0808	1.0613
301	5.0000	1.0808	1.0613
302	5.0000	1.0808	1.0613
303	5.0000	1.0808	1.0613
304	4.0000	0.8647	0.8491
305	5.0000	1.0808	1.0613
306	5.0000	1.0808	1.0613
307	5.0000	1.0808	1.0613
308	5.0000	1.0808	1.0613
309	5.0000	1.0808	1.0613
