Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
163	3.0000	0.5970	0.5861
164	5.0000	0.9950	0.9768
165	4.0000	0.7960	0.7814
166	4.0000	0.7960	0.7814
167	6.0000	1.1940	1.1721
168	4.0000	0.7960	0.7814
169	4.0000	0.7960	0.7814
170	5.0000	0.9950	0.9768
171	5.0000	0.9950	0.9768
172	3.0000	0.5970	0.5861
173	5.0000	0.9950	0.9768
174	4.0000	0.7960	0.7814
175	6.0000	1.1940	1.1721
176	6.0000	1.1940	1.1721
177	6.0000	1.1940	1.1721
178	6.0000	1.1940	1.1721
179	4.0000	0.7960	0.7814
180	6.0000	1.1940	1.1721
181	4.0000	0.7960	0.7814
182	3.0000	0.5970	0.5861
183	3.0000	0.5970	0.5861
184	7.0000	1.3930	1.3675
185	4.0000	0.7960	0.7814
186	4.0000	0.7960	0.7814
187	6.0000	1.1940	1.1721
188	7.0000	1.3930	1.3675
189	7.0000	1.3930	1.3675
190	6.0000	1.1940	1.1721
191	6.0000	1.1940	1.1721
192	4.0000	0.7960	0.7814
193	2.0000	0.3980	0.3907
194	6.0000	1.1940	1.1721
195	5.0000	0.9950	0.9768
196	6.0000	1.1940	1.1721
197	6.0000	1.1940	1.1721
198	7.0000	1.3930	1.3675
199	3.0000	0.5970	0.5861
200	6.0000	1.1940	1.1721
201	4.0000	0.7960	0.7814
202	6.0000	1.1940	1.1721
203	6.0000	1.1940	1.1721
204	7.0000	1.3930	1.3675
205	6.0000	1.1940	1.1721
206	4.0000	0.7960	0.7814
207	7.0000	1.3930	1.3675
208	6.0000	1.1940	1.1721
209	6.0000	1.1940	1.1721
210	4.0000	0.7960	0.7814
211	4.0000	0.7960	0.7814
212	6.0000	1.1940	1.1721
213	6.0000	1.1940	1.1721
214	7.0000	1.3930	1.3675
215	6.0000	1.1940	1.1721
216	4.0000	0.7960	0.7814
217	4.0000	0.7960	0.7814
218	4.0000	0.7960	0.7814
219	4.0000	0.7960	0.7814
220	6.0000	1.1940	1.1721
221	2.0000	0.3980	0.3907
222	6.0000	1.1940	1.1721
223	6.0000	1.1940	1.1721
224	6.0000	1.1940	1.1721
225	4.0000	0.7960	0.7814
226	4.0000	0.7960	0.7814
