Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
186	5.0000	0.4676	0.4564
187	10.0000	0.9353	0.9127
188	6.0000	0.5612	0.5476
189	12.0000	1.1223	1.0953
190	12.0000	1.1223	1.0953
191	10.0000	0.9353	0.9127
192	7.0000	0.6547	0.6389
193	8.0000	0.7482	0.7302
194	12.0000	1.1223	1.0953
195	8.0000	0.7482	0.7302
196	10.0000	0.9353	0.9127
197	10.0000	0.9353	0.9127
198	14.0000	1.3094	1.2778
199	12.0000	1.1223	1.0953
200	12.0000	1.1223	1.0953
201	10.0000	0.9353	0.9127
202	10.0000	0.9353	0.9127
203	13.0000	1.2159	1.1866
204	13.0000	1.2159	1.1866
205	12.0000	1.1223	1.0953
206	8.0000	0.7482	0.7302
207	12.0000	1.1223	1.0953
208	10.0000	0.9353	0.9127
209	13.0000	1.2159	1.1866
210	12.0000	1.1223	1.0953
211	12.0000	1.1223	1.0953
212	10.0000	0.9353	0.9127
213	10.0000	0.9353	0.9127
214	10.0000	0.9353	0.9127
215	12.0000	1.1223	1.0953
216	12.0000	1.1223	1.0953
217	10.0000	0.9353	0.9127
218	12.0000	1.1223	1.0953
219	13.0000	1.2159	1.1866
220	8.0000	0.7482	0.7302
221	12.0000	1.1223	1.0953
222	10.0000	0.9353	0.9127
223	11.0000	1.0288	1.0040
224	10.0000	0.9353	0.9127
225	14.0000	1.3094	1.2778
226	8.0000	0.7482	0.7302
227	10.0000	0.9353	0.9127
228	12.0000	1.1223	1.0953
229	12.0000	1.1223	1.0953
230	11.0000	1.0288	1.0040
231	11.0000	1.0288	1.0040
232	10.0000	0.9353	0.9127
233	13.0000	1.2159	1.1866
234	11.0000	1.0288	1.0040
235	13.0000	1.2159	1.1866
236	12.0000	1.1223	1.0953
237	10.0000	0.9353	0.9127
238	12.0000	1.1223	1.0953
239	11.0000	1.0288	1.0040
240	12.0000	1.1223	1.0953
241	12.0000	1.1223	1.0953
242	8.0000	0.7482	0.7302
243	11.0000	1.0288	1.0040
244	11.0000	1.0288	1.0040
245	8.0000	0.7482	0.7302
246	11.0000	1.0288	1.0040
247	6.0000	0.5612	0.5476
248	9.0000	0.8418	0.8215
249	10.0000	0.9353	0.9127
250	11.0000	1.0288	1.0040
251	12.0000	1.1223	1.0953
252	10.0000	0.9353	0.9127
253	10.0000	0.9353	0.9127
254	14.0000	1.3094	1.2778
255	8.0000	0.7482	0.7302
256	14.0000	1.3094	1.2778
257	13.0000	1.2159	1.1866
258	13.0000	1.2159	1.1866
259	13.0000	1.2159	1.1866
260	6.0000	0.5612	0.5476
261	5.0000	0.4676	0.4564
262	12.0000	1.1223	1.0953
263	12.0000	1.1223	1.0953
264	11.0000	1.0288	1.0040
265	13.0000	1.2159	1.1866
266	10.0000	0.9353	0.9127
267	11.0000	1.0288	1.0040
268	8.0000	0.7482	0.7302
269	9.0000	0.8418	0.8215
270	10.0000	0.9353	0.9127
271	10.0000	0.9353	0.9127
272	11.0000	1.0288	1.0040
273	11.0000	1.0288	1.0040
274	10.0000	0.9353	0.9127
275	12.0000	1.1223	1.0953
276	12.0000	1.1223	1.0953
277	12.0000	1.1223	1.0953
278	6.0000	0.5612	0.5476
279	12.0000	1.1223	1.0953
280	14.0000	1.3094	1.2778
281	10.0000	0.9353	0.9127
282	8.0000	0.7482	0.7302
283	13.0000	1.2159	1.1866
284	12.0000	1.1223	1.0953
285	12.0000	1.1223	1.0953
286	10.0000	0.9353	0.9127
287	12.0000	1.1223	1.0953
288	12.0000	1.1223	1.0953
289	10.0000	0.9353	0.9127
290	9.0000	0.8418	0.8215
291	8.0000	0.7482	0.7302
292	10.0000	0.9353	0.9127
293	12.0000	1.1223	1.0953
294	12.0000	1.1223	1.0953
295	14.0000	1.3094	1.2778
296	2.0000	0.1871	0.1825
297	12.0000	1.1223	1.0953
298	10.0000	0.9353	0.9127
299	12.0000	1.1223	1.0953
300	12.0000	1.1223	1.0953
301	12.0000	1.1223	1.0953
302	12.0000	1.1223	1.0953
303	12.0000	1.1223	1.0953
304	6.0000	0.5612	0.5476
305	12.0000	1.1223	1.0953
306	8.0000	0.7482	0.7302
307	12.0000	1.1223	1.0953
308	14.0000	1.3094	1.2778
309	12.0000	1.1223	1.0953
310	12.0000	1.1223	1.0953
311	14.0000	1.3094	1.2778
312	13.0000	1.2159	1.1866
313	12.0000	1.1223	1.0953
314	8.0000	0.7482	0.7302
315	10.0000	0.9353	0.9127
316	10.0000	0.9353	0.9127
317	10.0000	0.9353	0.9127
318	9.0000	0.8418	0.8215
319	13.0000	1.2159	1.1866
320	13.0000	1.2159	1.1866
321	14.0000	1.3094	1.2778
322	10.0000	0.9353	0.9127
323	11.0000	1.0288	1.0040
324	14.0000	1.3094	1.2778
325	14.0000	1.3094	1.2778
326	10.0000	0.9353	0.9127
