Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
162	4.0000	1.0908	1.0902
163	4.0000	1.0908	1.0902
164	3.0000	0.8181	0.8177
165	4.0000	1.0908	1.0902
166	3.0000	0.8181	0.8177
167	4.0000	1.0908	1.0902
168	3.0000	0.8181	0.8177
169	4.0000	1.0908	1.0902
170	4.0000	1.0908	1.0902
171	3.0000	0.8181	0.8177
172	4.0000	1.0908	1.0902
173	3.0000	0.8181	0.8177
174	3.0000	0.8181	0.8177
175	4.0000	1.0908	1.0902
176	4.0000	1.0908	1.0902
177	4.0000	1.0908	1.0902
178	4.0000	1.0908	1.0902
179	4.0000	1.0908	1.0902
180	3.0000	0.8181	0.8177
181	4.0000	1.0908	1.0902
182	2.0000	0.5454	0.5451
183	1.0000	0.2727	0.2726
184	4.0000	1.0908	1.0902
185	3.0000	0.8181	0.8177
186	4.0000	1.0908	1.0902
187	4.0000	1.0908	1.0902
188	3.0000	0.8181	0.8177
189	4.0000	1.0908	1.0902
190	4.0000	1.0908	1.0902
191	4.0000	1.0908	1.0902
192	4.0000	1.0908	1.0902
193	4.0000	1.0908	1.0902
194	4.0000	1.0908	1.0902
195	4.0000	1.0908	1.0902
196	4.0000	1.0908	1.0902
197	4.0000	1.0908	1.0902
198	4.0000	1.0908	1.0902
199	3.0000	0.8181	0.8177
200	4.0000	1.0908	1.0902
201	4.0000	1.0908	1.0902
202	4.0000	1.0908	1.0902
203	4.0000	1.0908	1.0902
204	3.0000	0.8181	0.8177
205	3.0000	0.8181	0.8177
206	4.0000	1.0908	1.0902
207	4.0000	1.0908	1.0902
208	4.0000	1.0908	1.0902
209	4.0000	1.0908	1.0902
210	2.0000	0.5454	0.5451
211	3.0000	0.8181	0.8177
212	4.0000	1.0908	1.0902
213	3.0000	0.8181	0.8177
214	4.0000	1.0908	1.0902
215	4.0000	1.0908	1.0902
216	3.0000	0.8181	0.8177
217	4.0000	1.0908	1.0902
218	4.0000	1.0908	1.0902
219	4.0000	1.0908	1.0902
220	4.0000	1.0908	1.0902
221	2.0000	0.5454	0.5451
222	3.0000	0.8181	0.8177
223	4.0000	1.0908	1.0902
224	3.0000	0.8181	0.8177
225	4.0000	1.0908	1.0902
226	4.0000	1.0908	1.0902
227	4.0000	1.0908	1.0902
228	3.0000	0.8181	0.8177
229	3.0000	0.8181	0.8177
230	3.0000	0.8181	0.8177
231	4.0000	1.0908	1.0902
232	4.0000	1.0908	1.0902
233	4.0000	1.0908	1.0902
234	4.0000	1.0908	1.0902
235	3.0000	0.8181	0.8177
236	4.0000	1.0908	1.0902
237	4.0000	1.0908	1.0902
238	4.0000	1.0908	1.0902
239	4.0000	1.0908	1.0902
240	4.0000	1.0908	1.0902
241	4.0000	1.0908	1.0902
242	4.0000	1.0908	1.0902
243	4.0000	1.0908	1.0902
244	3.0000	0.8181	0.8177
245	4.0000	1.0908	1.0902
246	4.0000	1.0908	1.0902
247	4.0000	1.0908	1.0902
248	4.0000	1.0908	1.0902
249	3.0000	0.8181	0.8177
250	3.0000	0.8181	0.8177
251	4.0000	1.0908	1.0902
252	4.0000	1.0908	1.0902
253	3.0000	0.8181	0.8177
254	2.0000	0.5454	0.5451
255	4.0000	1.0908	1.0902
256	4.0000	1.0908	1.0902
257	3.0000	0.8181	0.8177
258	4.0000	1.0908	1.0902
259	4.0000	1.0908	1.0902
260	3.0000	0.8181	0.8177
261	4.0000	1.0908	1.0902
262	4.0000	1.0908	1.0902
263	4.0000	1.0908	1.0902
264	1.0000	0.2727	0.2726
265	2.0000	0.5454	0.5451
266	4.0000	1.0908	1.0902
267	3.0000	0.8181	0.8177
268	3.0000	0.8181	0.8177
269	3.0000	0.8181	0.8177
270	4.0000	1.0908	1.0902
271	4.0000	1.0908	1.0902
272	4.0000	1.0908	1.0902
273	4.0000	1.0908	1.0902
274	4.0000	1.0908	1.0902
275	4.0000	1.0908	1.0902
276	3.0000	0.8181	0.8177
277	3.0000	0.8181	0.8177
278	4.0000	1.0908	1.0902
279	4.0000	1.0908	1.0902
280	3.0000	0.8181	0.8177
281	4.0000	1.0908	1.0902
282	4.0000	1.0908	1.0902
283	4.0000	1.0908	1.0902
284	3.0000	0.8181	0.8177
285	4.0000	1.0908	1.0902
286	4.0000	1.0908	1.0902
287	4.0000	1.0908	1.0902
288	4.0000	1.0908	1.0902
289	4.0000	1.0908	1.0902
290	4.0000	1.0908	1.0902
291	4.0000	1.0908	1.0902
292	4.0000	1.0908	1.0902
293	4.0000	1.0908	1.0902
294	4.0000	1.0908	1.0902
295	4.0000	1.0908	1.0902
296	3.0000	0.8181	0.8177
297	3.0000	0.8181	0.8177
298	4.0000	1.0908	1.0902
299	4.0000	1.0908	1.0902
300	4.0000	1.0908	1.0902
301	4.0000	1.0908	1.0902
302	4.0000	1.0908	1.0902
303	4.0000	1.0908	1.0902
304	3.0000	0.8181	0.8177
305	4.0000	1.0908	1.0902
306	3.0000	0.8181	0.8177
307	4.0000	1.0908	1.0902
308	3.0000	0.8181	0.8177
309	4.0000	1.0908	1.0902
310	4.0000	1.0908	1.0902
311	4.0000	1.0908	1.0902
312	4.0000	1.0908	1.0902
313	4.0000	1.0908	1.0902
314	4.0000	1.0908	1.0902
315	4.0000	1.0908	1.0902
316	4.0000	1.0908	1.0902
317	4.0000	1.0908	1.0902
318	4.0000	1.0908	1.0902
319	4.0000	1.0908	1.0902
320	3.0000	0.8181	0.8177
321	2.0000	0.5454	0.5451
322	4.0000	1.0908	1.0902
323	4.0000	1.0908	1.0902
324	3.0000	0.8181	0.8177
325	3.0000	0.8181	0.8177
326	4.0000	1.0908	1.0902
327	4.0000	1.0908	1.0902
328	4.0000	1.0908	1.0902
329	4.0000	1.0908	1.0902
330	3.0000	0.8181	0.8177
331	4.0000	1.0908	1.0902
332	4.0000	1.0908	1.0902
333	4.0000	1.0908	1.0902
334	3.0000	0.8181	0.8177
335	4.0000	1.0908	1.0902
336	4.0000	1.0908	1.0902
337	4.0000	1.0908	1.0902
338	4.0000	1.0908	1.0902
339	3.0000	0.8181	0.8177
340	4.0000	1.0908	1.0902
341	4.0000	1.0908	1.0902
342	4.0000	1.0908	1.0902
343	3.0000	0.8181	0.8177
344	4.0000	1.0908	1.0902
345	2.0000	0.5454	0.5451
346	3.0000	0.8181	0.8177
347	4.0000	1.0908	1.0902
348	3.0000	0.8181	0.8177
349	4.0000	1.0908	1.0902
350	3.0000	0.8181	0.8177
351	4.0000	1.0908	1.0902
352	4.0000	1.0908	1.0902
353	3.0000	0.8181	0.8177
354	2.0000	0.5454	0.5451
355	4.0000	1.0908	1.0902
356	3.0000	0.8181	0.8177
357	4.0000	1.0908	1.0902
358	4.0000	1.0908	1.0902
359	3.0000	0.8181	0.8177
360	4.0000	1.0908	1.0902
361	4.0000	1.0908	1.0902
362	4.0000	1.0908	1.0902
363	4.0000	1.0908	1.0902
364	4.0000	1.0908	1.0902
365	4.0000	1.0908	1.0902
366	3.0000	0.8181	0.8177
367	3.0000	0.8181	0.8177
368	3.0000	0.8181	0.8177
369	3.0000	0.8181	0.8177
370	4.0000	1.0908	1.0902
371	4.0000	1.0908	1.0902
372	3.0000	0.8181	0.8177
373	4.0000	1.0908	1.0902
374	4.0000	1.0908	1.0902
375	3.0000	0.8181	0.8177
376	4.0000	1.0908	1.0902
377	4.0000	1.0908	1.0902
378	4.0000	1.0908	1.0902
379	4.0000	1.0908	1.0902
380	4.0000	1.0908	1.0902
381	4.0000	1.0908	1.0902
382	3.0000	0.8181	0.8177
383	4.0000	1.0908	1.0902
384	3.0000	0.8181	0.8177
385	4.0000	1.0908	1.0902
386	4.0000	1.0908	1.0902
387	4.0000	1.0908	1.0902
388	3.0000	0.8181	0.8177
389	4.0000	1.0908	1.0902
390	4.0000	1.0908	1.0902
391	3.0000	0.8181	0.8177
392	3.0000	0.8181	0.8177
393	4.0000	1.0908	1.0902
394	3.0000	0.8181	0.8177
395	4.0000	1.0908	1.0902
396	4.0000	1.0908	1.0902
397	4.0000	1.0908	1.0902
398	4.0000	1.0908	1.0902
399	4.0000	1.0908	1.0902
400	3.0000	0.8181	0.8177
401	4.0000	1.0908	1.0902
402	3.0000	0.8181	0.8177
403	4.0000	1.0908	1.0902
404	3.0000	0.8181	0.8177
405	4.0000	1.0908	1.0902
406	4.0000	1.0908	1.0902
407	4.0000	1.0908	1.0902
408	4.0000	1.0908	1.0902
409	3.0000	0.8181	0.8177
410	3.0000	0.8181	0.8177
411	3.0000	0.8181	0.8177
412	3.0000	0.8181	0.8177
413	4.0000	1.0908	1.0902
414	3.0000	0.8181	0.8177
415	4.0000	1.0908	1.0902
416	4.0000	1.0908	1.0902
417	4.0000	1.0908	1.0902
418	4.0000	1.0908	1.0902
419	4.0000	1.0908	1.0902
420	3.0000	0.8181	0.8177
421	4.0000	1.0908	1.0902
422	4.0000	1.0908	1.0902
423	4.0000	1.0908	1.0902
424	3.0000	0.8181	0.8177
425	3.0000	0.8181	0.8177
426	4.0000	1.0908	1.0902
427	4.0000	1.0908	1.0902
428	4.0000	1.0908	1.0902
429	4.0000	1.0908	1.0902
430	4.0000	1.0908	1.0902
431	4.0000	1.0908	1.0902
432	4.0000	1.0908	1.0902
433	4.0000	1.0908	1.0902
434	4.0000	1.0908	1.0902
435	4.0000	1.0908	1.0902
436	3.0000	0.8181	0.8177
437	3.0000	0.8181	0.8177
438	3.0000	0.8181	0.8177
439	4.0000	1.0908	1.0902
440	4.0000	1.0908	1.0902
441	4.0000	1.0908	1.0902
442	4.0000	1.0908	1.0902
443	3.0000	0.8181	0.8177
444	4.0000	1.0908	1.0902
445	3.0000	0.8181	0.8177
446	3.0000	0.8181	0.8177
447	3.0000	0.8181	0.8177
448	4.0000	1.0908	1.0902
