Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
163	16.0000	0.9767	0.9402
164	15.0000	0.9156	0.8814
165	19.0000	1.1598	1.1165
166	16.0000	0.9767	0.9402
167	18.0000	1.0988	1.0577
168	15.0000	0.9156	0.8814
169	17.0000	1.0377	0.9989
170	10.0000	0.6104	0.5876
171	13.0000	0.7936	0.7639
172	18.0000	1.0988	1.0577
173	14.0000	0.8546	0.8227
174	17.0000	1.0377	0.9989
175	15.0000	0.9156	0.8814
176	16.0000	0.9767	0.9402
177	14.0000	0.8546	0.8227
178	13.0000	0.7936	0.7639
179	16.0000	0.9767	0.9402
180	15.0000	0.9156	0.8814
181	18.0000	1.0988	1.0577
182	17.0000	1.0377	0.9989
183	18.0000	1.0988	1.0577
184	11.0000	0.6715	0.6464
185	26.0000	1.5871	1.5278
186	8.0000	0.4883	0.4701
187	12.0000	0.7325	0.7051
188	11.0000	0.6715	0.6464
189	17.0000	1.0377	0.9989
190	16.0000	0.9767	0.9402
191	15.0000	0.9156	0.8814
192	12.0000	0.7325	0.7051
193	9.0000	0.5494	0.5289
194	13.0000	0.7936	0.7639
195	9.0000	0.5494	0.5289
196	14.0000	0.8546	0.8227
197	14.0000	0.8546	0.8227
198	21.0000	1.2819	1.2340
199	16.0000	0.9767	0.9402
200	14.0000	0.8546	0.8227
201	11.0000	0.6715	0.6464
202	15.0000	0.9156	0.8814
203	18.0000	1.0988	1.0577
204	16.0000	0.9767	0.9402
205	17.0000	1.0377	0.9989
206	12.0000	0.7325	0.7051
207	14.0000	0.8546	0.8227
208	13.0000	0.7936	0.7639
209	16.0000	0.9767	0.9402
210	16.0000	0.9767	0.9402
211	19.0000	1.1598	1.1165
212	17.0000	1.0377	0.9989
213	12.0000	0.7325	0.7051
214	15.0000	0.9156	0.8814
215	17.0000	1.0377	0.9989
216	15.0000	0.9156	0.8814
217	21.0000	1.2819	1.2340
218	20.0000	1.2209	1.1752
219	16.0000	0.9767	0.9402
220	11.0000	0.6715	0.6464
221	13.0000	0.7936	0.7639
222	14.0000	0.8546	0.8227
223	14.0000	0.8546	0.8227
224	16.0000	0.9767	0.9402
225	18.0000	1.0988	1.0577
226	14.0000	0.8546	0.8227
227	16.0000	0.9767	0.9402
228	15.0000	0.9156	0.8814
229	14.0000	0.8546	0.8227
230	12.0000	0.7325	0.7051
231	16.0000	0.9767	0.9402
232	14.0000	0.8546	0.8227
233	18.0000	1.0988	1.0577
234	16.0000	0.9767	0.9402
235	16.0000	0.9767	0.9402
236	17.0000	1.0377	0.9989
237	13.0000	0.7936	0.7639
238	16.0000	0.9767	0.9402
239	16.0000	0.9767	0.9402
240	16.0000	0.9767	0.9402
241	14.0000	0.8546	0.8227
242	12.0000	0.7325	0.7051
243	18.0000	1.0988	1.0577
244	16.0000	0.9767	0.9402
245	12.0000	0.7325	0.7051
246	16.0000	0.9767	0.9402
247	6.0000	0.3663	0.3526
248	12.0000	0.7325	0.7051
249	17.0000	1.0377	0.9989
250	14.0000	0.8546	0.8227
251	14.0000	0.8546	0.8227
252	13.0000	0.7936	0.7639
253	14.0000	0.8546	0.8227
254	15.0000	0.9156	0.8814
255	9.0000	0.5494	0.5289
256	17.0000	1.0377	0.9989
257	18.0000	1.0988	1.0577
258	16.0000	0.9767	0.9402
259	16.0000	0.9767	0.9402
260	12.0000	0.7325	0.7051
261	8.0000	0.4883	0.4701
262	15.0000	0.9156	0.8814
263	15.0000	0.9156	0.8814
264	14.0000	0.8546	0.8227
265	16.0000	0.9767	0.9402
266	15.0000	0.9156	0.8814
267	16.0000	0.9767	0.9402
268	12.0000	0.7325	0.7051
269	14.0000	0.8546	0.8227
270	14.0000	0.8546	0.8227
271	13.0000	0.7936	0.7639
272	16.0000	0.9767	0.9402
273	14.0000	0.8546	0.8227
274	17.0000	1.0377	0.9989
275	18.0000	1.0988	1.0577
276	15.0000	0.9156	0.8814
277	18.0000	1.0988	1.0577
278	14.0000	0.8546	0.8227
279	18.0000	1.0988	1.0577
280	19.0000	1.1598	1.1165
281	14.0000	0.8546	0.8227
282	16.0000	0.9767	0.9402
