Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
163	6.0000	0.6633	0.6553
164	8.0000	0.8844	0.8737
165	6.0000	0.6633	0.6553
166	8.0000	0.8844	0.8737
167	10.0000	1.1055	1.0922
168	7.0000	0.7738	0.7645
169	6.0000	0.6633	0.6553
170	6.0000	0.6633	0.6553
171	8.0000	0.8844	0.8737
172	6.0000	0.6633	0.6553
173	8.0000	0.8844	0.8737
174	6.0000	0.6633	0.6553
175	10.0000	1.1055	1.0922
176	11.0000	1.2160	1.2014
177	8.0000	0.8844	0.8737
178	10.0000	1.1055	1.0922
179	8.0000	0.8844	0.8737
180	8.0000	0.8844	0.8737
181	7.0000	0.7738	0.7645
182	6.0000	0.6633	0.6553
183	8.0000	0.8844	0.8737
184	10.0000	1.1055	1.0922
185	4.0000	0.4422	0.4369
186	8.0000	0.8844	0.8737
187	7.0000	0.7738	0.7645
188	10.0000	1.1055	1.0922
189	10.0000	1.1055	1.0922
190	7.0000	0.7738	0.7645
191	7.0000	0.7738	0.7645
192	6.0000	0.6633	0.6553
193	9.0000	0.9949	0.9830
194	9.0000	0.9949	0.9830
195	6.0000	0.6633	0.6553
196	9.0000	0.9949	0.9830
197	8.0000	0.8844	0.8737
198	8.0000	0.8844	0.8737
199	8.0000	0.8844	0.8737
200	8.0000	0.8844	0.8737
201	9.0000	0.9949	0.9830
202	10.0000	1.1055	1.0922
203	11.0000	1.2160	1.2014
204	10.0000	1.1055	1.0922
205	9.0000	0.9949	0.9830
206	7.0000	0.7738	0.7645
207	10.0000	1.1055	1.0922
208	11.0000	1.2160	1.2014
209	10.0000	1.1055	1.0922
210	7.0000	0.7738	0.7645
211	7.0000	0.7738	0.7645
212	6.0000	0.6633	0.6553
213	7.0000	0.7738	0.7645
214	10.0000	1.1055	1.0922
215	11.0000	1.2160	1.2014
216	8.0000	0.8844	0.8737
217	7.0000	0.7738	0.7645
218	6.0000	0.6633	0.6553
219	10.0000	1.1055	1.0922
220	10.0000	1.1055	1.0922
221	9.0000	0.9949	0.9830
222	8.0000	0.8844	0.8737
223	9.0000	0.9949	0.9830
224	9.0000	0.9949	0.9830
225	7.0000	0.7738	0.7645
226	10.0000	1.1055	1.0922
227	9.0000	0.9949	0.9830
228	7.0000	0.7738	0.7645
229	10.0000	1.1055	1.0922
230	8.0000	0.8844	0.8737
231	8.0000	0.8844	0.8737
232	7.0000	0.7738	0.7645
233	8.0000	0.8844	0.8737
234	7.0000	0.7738	0.7645
235	7.0000	0.7738	0.7645
236	4.0000	0.4422	0.4369
237	8.0000	0.8844	0.8737
238	7.0000	0.7738	0.7645
239	11.0000	1.2160	1.2014
240	11.0000	1.2160	1.2014
241	8.0000	0.8844	0.8737
242	10.0000	1.1055	1.0922
243	10.0000	1.1055	1.0922
244	8.0000	0.8844	0.8737
245	11.0000	1.2160	1.2014
246	8.0000	0.8844	0.8737
247	8.0000	0.8844	0.8737
248	7.0000	0.7738	0.7645
249	4.0000	0.4422	0.4369
250	10.0000	1.1055	1.0922
251	9.0000	0.9949	0.9830
252	8.0000	0.8844	0.8737
253	9.0000	0.9949	0.9830
254	6.0000	0.6633	0.6553
255	10.0000	1.1055	1.0922
256	10.0000	1.1055	1.0922
257	8.0000	0.8844	0.8737
258	8.0000	0.8844	0.8737
259	7.0000	0.7738	0.7645
260	6.0000	0.6633	0.6553
261	8.0000	0.8844	0.8737
262	8.0000	0.8844	0.8737
263	11.0000	1.2160	1.2014
264	8.0000	0.8844	0.8737
265	6.0000	0.6633	0.6553
266	8.0000	0.8844	0.8737
267	10.0000	1.1055	1.0922
268	9.0000	0.9949	0.9830
269	9.0000	0.9949	0.9830
270	7.0000	0.7738	0.7645
271	8.0000	0.8844	0.8737
272	9.0000	0.9949	0.9830
273	10.0000	1.1055	1.0922
274	12.0000	1.3266	1.3106
275	10.0000	1.1055	1.0922
276	10.0000	1.1055	1.0922
277	12.0000	1.3266	1.3106
278	11.0000	1.2160	1.2014
279	10.0000	1.1055	1.0922
280	7.0000	0.7738	0.7645
281	7.0000	0.7738	0.7645
282	8.0000	0.8844	0.8737
283	8.0000	0.8844	0.8737
284	6.0000	0.6633	0.6553
285	6.0000	0.6633	0.6553
286	8.0000	0.8844	0.8737
287	10.0000	1.1055	1.0922
288	6.0000	0.6633	0.6553
