Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
186	4.0000	1.0908	1.0902
187	4.0000	1.0908	1.0902
188	4.0000	1.0908	1.0902
189	4.0000	1.0908	1.0902
190	4.0000	1.0908	1.0902
191	4.0000	1.0908	1.0902
192	3.0000	0.8181	0.8177
193	3.0000	0.8181	0.8177
194	4.0000	1.0908	1.0902
195	4.0000	1.0908	1.0902
196	4.0000	1.0908	1.0902
197	4.0000	1.0908	1.0902
198	4.0000	1.0908	1.0902
199	3.0000	0.8181	0.8177
200	4.0000	1.0908	1.0902
201	4.0000	1.0908	1.0902
202	4.0000	1.0908	1.0902
203	4.0000	1.0908	1.0902
204	4.0000	1.0908	1.0902
205	4.0000	1.0908	1.0902
206	3.0000	0.8181	0.8177
207	4.0000	1.0908	1.0902
208	4.0000	1.0908	1.0902
209	4.0000	1.0908	1.0902
210	3.0000	0.8181	0.8177
211	3.0000	0.8181	0.8177
212	3.0000	0.8181	0.8177
213	4.0000	1.0908	1.0902
214	4.0000	1.0908	1.0902
215	4.0000	1.0908	1.0902
216	3.0000	0.8181	0.8177
217	3.0000	0.8181	0.8177
218	3.0000	0.8181	0.8177
219	3.0000	0.8181	0.8177
220	4.0000	1.0908	1.0902
221	3.0000	0.8181	0.8177
222	4.0000	1.0908	1.0902
223	4.0000	1.0908	1.0902
224	4.0000	1.0908	1.0902
225	3.0000	0.8181	0.8177
226	4.0000	1.0908	1.0902
227	4.0000	1.0908	1.0902
228	4.0000	1.0908	1.0902
229	4.0000	1.0908	1.0902
230	4.0000	1.0908	1.0902
231	4.0000	1.0908	1.0902
232	4.0000	1.0908	1.0902
233	4.0000	1.0908	1.0902
234	3.0000	0.8181	0.8177
235	4.0000	1.0908	1.0902
236	3.0000	0.8181	0.8177
237	4.0000	1.0908	1.0902
238	3.0000	0.8181	0.8177
239	4.0000	1.0908	1.0902
240	4.0000	1.0908	1.0902
241	4.0000	1.0908	1.0902
242	4.0000	1.0908	1.0902
243	4.0000	1.0908	1.0902
244	4.0000	1.0908	1.0902
245	4.0000	1.0908	1.0902
246	4.0000	1.0908	1.0902
247	4.0000	1.0908	1.0902
248	4.0000	1.0908	1.0902
249	2.0000	0.5454	0.5451
250	4.0000	1.0908	1.0902
251	4.0000	1.0908	1.0902
252	4.0000	1.0908	1.0902
253	4.0000	1.0908	1.0902
254	3.0000	0.8181	0.8177
255	4.0000	1.0908	1.0902
256	4.0000	1.0908	1.0902
257	4.0000	1.0908	1.0902
258	4.0000	1.0908	1.0902
259	3.0000	0.8181	0.8177
260	2.0000	0.5454	0.5451
261	4.0000	1.0908	1.0902
262	4.0000	1.0908	1.0902
263	4.0000	1.0908	1.0902
264	3.0000	0.8181	0.8177
265	2.0000	0.5454	0.5451
266	4.0000	1.0908	1.0902
267	4.0000	1.0908	1.0902
268	3.0000	0.8181	0.8177
269	4.0000	1.0908	1.0902
270	4.0000	1.0908	1.0902
271	2.0000	0.5454	0.5451
272	4.0000	1.0908	1.0902
273	4.0000	1.0908	1.0902
274	4.0000	1.0908	1.0902
275	4.0000	1.0908	1.0902
276	4.0000	1.0908	1.0902
277	4.0000	1.0908	1.0902
278	4.0000	1.0908	1.0902
279	4.0000	1.0908	1.0902
280	4.0000	1.0908	1.0902
281	3.0000	0.8181	0.8177
282	4.0000	1.0908	1.0902
283	4.0000	1.0908	1.0902
284	3.0000	0.8181	0.8177
285	3.0000	0.8181	0.8177
286	4.0000	1.0908	1.0902
287	4.0000	1.0908	1.0902
288	3.0000	0.8181	0.8177
289	4.0000	1.0908	1.0902
290	4.0000	1.0908	1.0902
291	4.0000	1.0908	1.0902
292	4.0000	1.0908	1.0902
293	4.0000	1.0908	1.0902
294	4.0000	1.0908	1.0902
295	3.0000	0.8181	0.8177
296	4.0000	1.0908	1.0902
297	4.0000	1.0908	1.0902
298	4.0000	1.0908	1.0902
299	4.0000	1.0908	1.0902
300	4.0000	1.0908	1.0902
301	4.0000	1.0908	1.0902
302	4.0000	1.0908	1.0902
303	2.0000	0.5454	0.5451
304	4.0000	1.0908	1.0902
305	4.0000	1.0908	1.0902
306	3.0000	0.8181	0.8177
307	3.0000	0.8181	0.8177
308	2.0000	0.5454	0.5451
309	3.0000	0.8181	0.8177
310	4.0000	1.0908	1.0902
311	4.0000	1.0908	1.0902
312	4.0000	1.0908	1.0902
313	4.0000	1.0908	1.0902
314	4.0000	1.0908	1.0902
315	4.0000	1.0908	1.0902
316	4.0000	1.0908	1.0902
317	3.0000	0.8181	0.8177
318	3.0000	0.8181	0.8177
319	4.0000	1.0908	1.0902
320	2.0000	0.5454	0.5451
321	3.0000	0.8181	0.8177
322	4.0000	1.0908	1.0902
323	3.0000	0.8181	0.8177
324	4.0000	1.0908	1.0902
325	3.0000	0.8181	0.8177
326	4.0000	1.0908	1.0902
327	4.0000	1.0908	1.0902
328	4.0000	1.0908	1.0902
329	4.0000	1.0908	1.0902
330	4.0000	1.0908	1.0902
331	4.0000	1.0908	1.0902
332	4.0000	1.0908	1.0902
333	4.0000	1.0908	1.0902
334	4.0000	1.0908	1.0902
335	3.0000	0.8181	0.8177
336	4.0000	1.0908	1.0902
337	4.0000	1.0908	1.0902
338	4.0000	1.0908	1.0902
339	3.0000	0.8181	0.8177
340	4.0000	1.0908	1.0902
341	4.0000	1.0908	1.0902
342	4.0000	1.0908	1.0902
343	3.0000	0.8181	0.8177
344	4.0000	1.0908	1.0902
345	4.0000	1.0908	1.0902
346	4.0000	1.0908	1.0902
347	4.0000	1.0908	1.0902
348	4.0000	1.0908	1.0902
349	4.0000	1.0908	1.0902
350	3.0000	0.8181	0.8177
351	4.0000	1.0908	1.0902
352	4.0000	1.0908	1.0902
353	4.0000	1.0908	1.0902
354	2.0000	0.5454	0.5451
355	4.0000	1.0908	1.0902
356	4.0000	1.0908	1.0902
357	4.0000	1.0908	1.0902
358	4.0000	1.0908	1.0902
359	3.0000	0.8181	0.8177
360	4.0000	1.0908	1.0902
361	4.0000	1.0908	1.0902
362	4.0000	1.0908	1.0902
363	3.0000	0.8181	0.8177
364	3.0000	0.8181	0.8177
365	4.0000	1.0908	1.0902
366	3.0000	0.8181	0.8177
367	3.0000	0.8181	0.8177
368	4.0000	1.0908	1.0902
369	4.0000	1.0908	1.0902
370	4.0000	1.0908	1.0902
371	4.0000	1.0908	1.0902
372	3.0000	0.8181	0.8177
373	4.0000	1.0908	1.0902
374	3.0000	0.8181	0.8177
375	4.0000	1.0908	1.0902
376	4.0000	1.0908	1.0902
377	3.0000	0.8181	0.8177
378	4.0000	1.0908	1.0902
379	4.0000	1.0908	1.0902
380	3.0000	0.8181	0.8177
381	4.0000	1.0908	1.0902
382	3.0000	0.8181	0.8177
383	4.0000	1.0908	1.0902
384	3.0000	0.8181	0.8177
385	3.0000	0.8181	0.8177
386	4.0000	1.0908	1.0902
387	4.0000	1.0908	1.0902
388	4.0000	1.0908	1.0902
389	3.0000	0.8181	0.8177
390	4.0000	1.0908	1.0902
391	2.0000	0.5454	0.5451
392	3.0000	0.8181	0.8177
393	4.0000	1.0908	1.0902
394	4.0000	1.0908	1.0902
395	3.0000	0.8181	0.8177
396	4.0000	1.0908	1.0902
397	4.0000	1.0908	1.0902
398	2.0000	0.5454	0.5451
399	4.0000	1.0908	1.0902
400	4.0000	1.0908	1.0902
401	4.0000	1.0908	1.0902
402	1.0000	0.2727	0.2726
403	3.0000	0.8181	0.8177
404	4.0000	1.0908	1.0902
405	4.0000	1.0908	1.0902
406	4.0000	1.0908	1.0902
407	3.0000	0.8181	0.8177
408	4.0000	1.0908	1.0902
409	4.0000	1.0908	1.0902
410	4.0000	1.0908	1.0902
